"Country,Other",Continent,TotalCases,NewCases,TotalDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,New Cases/1M pop,Active Cases/1M pop
China,Asia,109092,239.0,4636.0,101868.0,2588.0,19.0,76.0,3.0,160000000.0,111163.0,1439323776.0,0.2,2.0
USA,NorthAmerica,80567757,7464.0,973119.0,53192990.0,26401648.0,8279.0,241065.0,2912.0,947752321.0,2835754.0,334215330.0,22.0,78996.0
India,Asia,42924130,8013.0,513843.0,42307686.0,102601.0,8944.0,30606.0,366.0,766757518.0,546724.0,1402457970.0,6.0,73.0
Brazil,SouthAmerica,28768104,24054.0,649195.0,26183623.0,1935286.0,8318.0,133768.0,3019.0,63776166.0,296550.0,215060231.0,112.0,8999.0
France,Europe,22689332,42600.0,138135.0,20666313.0,1884884.0,2484.0,346335.0,2109.0,246629975.0,3764619.0,65512597.0,650.0,28771.0
UK,Europe,18804765,-1.0,161224.0,17153253.0,1490288.0,289.0,274617.0,2354.0,480341745.0,7014719.0,68476267.0,-1.0,21764.0
Russia,Europe,16291116,116093.0,350927.0,13458910.0,2481279.0,2300.0,111554.0,2403.0,273400000.0,1872115.0,146038047.0,795.0,16991.0
Germany,Europe,14728752,95241.0,123328.0,10842300.0,3763124.0,2494.0,174869.0,1464.0,104701826.0,1243085.0,84227395.0,1131.0,44678.0
Turkey,Asia,14025181,49792.0,94232.0,13289352.0,641597.0,1128.0,163386.0,1098.0,143400825.0,1670542.0,85840907.0,580.0,7474.0
Italy,Europe,12764558,30629.0,154560.0,11487720.0,1122278.0,733.0,211633.0,2563.0,187137866.0,3102693.0,60314654.0,508.0,18607.0
Spain,Europe,10977524,-1.0,99410.0,9181728.0,1696386.0,1053.0,234639.0,2125.0,471036328.0,10068158.0,46784756.0,-1.0,36259.0
Argentina,SouthAmerica,8897178,3610.0,126120.0,8670946.0,100112.0,1156.0,193914.0,2749.0,34235204.0,746155.0,45882140.0,79.0,2182.0
Iran,Asia,7040467,9524.0,136631.0,6634126.0,269710.0,4049.0,82084.0,1593.0,46780865.0,545410.0,85771863.0,111.0,3145.0
Netherlands,Europe,6332772,27383.0,21548.0,4284149.0,2027075.0,174.0,368235.0,1253.0,21107399.0,1227343.0,17197630.0,1592.0,117869.0
Colombia,SouthAmerica,6062701,1908.0,138693.0,5888474.0,35534.0,342.0,117085.0,2678.0,33165748.0,640508.0,51780399.0,37.0,686.0
Poland,Europe,5660490,8899.0,111316.0,5039109.0,510065.0,872.0,149836.0,2947.0,33587230.0,889069.0,37777994.0,236.0,13502.0
Indonesia,Asia,5539394,34976.0,148073.0,4817423.0,573898.0,2911.0,19904.0,532.0,84371793.0,303158.0,278310087.0,126.0,2062.0
Mexico,NorthAmerica,5502586,13459.0,318014.0,4764651.0,419921.0,4798.0,41949.0,2424.0,15074996.0,114923.0,131174496.0,103.0,3201.0
Japan,Asia,4886946,71254.0,23270.0,4114425.0,749251.0,1482.0,38836.0,185.0,38717172.0,307681.0,125835531.0,566.0,5954.0
Ukraine,Europe,4809624,-1.0,105505.0,4058020.0,646099.0,177.0,111080.0,2437.0,19521252.0,450849.0,43298824.0,-1.0,14922.0
SouthAfrica,Africa,3673257,1266.0,99229.0,3541730.0,32298.0,546.0,60669.0,1639.0,23071788.0,381062.0,60546030.0,21.0,533.0
Philippines,Asia,3661046,1035.0,56401.0,3551650.0,52995.0,298.0,32690.0,504.0,28128384.0,251159.0,111994381.0,9.0,473.0
Israel,Asia,3618445,4680.0,10126.0,3530985.0,77334.0,646.0,387995.0,1086.0,41373364.0,4436346.0,9326000.0,502.0,8292.0
