#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
1,China,109092,+239,4636,,101868,+82,2588,19,76,3,160000000,111163,1439323776,Asia,13194,310467,9,0.2,,2
2,USA,80567757,+7464,973119,+189,53192990,+155945,26401648,8279,241065,2912,947752321,2835754,334215330,NorthAmerica,4,343,0,22,0.6,78996
3,India,42924130,+8013,513843,+87,42307686,+16765,102601,8944,30606,366,766757518,546724,1402457970,Asia,33,2729,2,6,0.06,73
4,Brazil,28768104,+24054,649195,+206,26183623,+101112,1935286,8318,133768,3019,63776166,296550,215060231,SouthAmerica,7,331,3,112,1.0,8999
5,France,22689332,+42600,138135,+76,20666313,+45900,1884884,2484,346335,2109,246629975,3764619,65512597,Europe,3,474,0,650,1,28771
6,UK,18804765,,161224,,17153253,,1490288,289,274617,2354,480341745,7014719,68476267,Europe,4,425,0,,,21764
7,Russia,16291116,+116093,350927,+769,13458910,+137596,2481279,2300,111554,2403,273400000,1872115,146038047,Europe,9,416,1,795,5,16991
8,Germany,14728752,+95241,123328,+45,10842300,+83800,3763124,2494,174869,1464,104701826,1243085,84227395,Europe,6,683,1,1131,0.5,44678
9,Turkey,14025181,+49792,94232,+206,13289352,+69845,641597,1128,163386,1098,143400825,1670542,85840907,Asia,6,911,1,580,2,7474
10,Italy,12764558,+30629,154560,+144,11487720,+50014,1122278,733,211633,2563,187137866,3102693,60314654,Europe,5,390,0,508,2,18607
11,Spain,10977524,,99410,,9181728,,1696386,1053,234639,2125,471036328,10068158,46784756,Europe,4,471,0,,,36259
12,Argentina,8897178,+3610,126120,+72,8670946,+12878,100112,1156,193914,2749,34235204,746155,45882140,SouthAmerica,5,364,1,79,2,2182
13,Iran,7040467,+9524,136631,+241,6634126,+17493,269710,4049,82084,1593,46780865,545410,85771863,Asia,12,628,2,111,3,3145
14,Netherlands,6332772,+27383,21548,+3,4284149,+83108,2027075,174,368235,1253,21107399,1227343,17197630,Europe,3,798,1,1592,0.2,117869
15,Colombia,6062701,+1908,138693,+95,5888474,+2409,35534,342,117085,2678,33165748,640508,51780399,SouthAmerica,9,373,2,37,2,686
16,Poland,5660490,+8899,111316,+40,5039109,+7572,510065,872,149836,2947,33587230,889069,37777994,Europe,7,339,1,236,1,13502
17,Indonesia,5539394,+34976,148073,+229,4817423,+39384,573898,2911,19904,532,84371793,303158,278310087,Asia,50,1880,3,126,0.8,2062
18,Mexico,5502586,+13459,318014,+331,4764651,+14314,419921,4798,41949,2424,15074996,114923,131174496,NorthAmerica,24,412,9,103,3,3201
19,Japan,4886946,+71254,23270,+259,4114425,+76751,749251,1482,38836,185,38717172,307681,125835531,Asia,26,5408,3,566,2,5954
20,Ukraine,4809624,,105505,,4058020,,646099,177,111080,2437,19521252,450849,43298824,Europe,9,410,2,,,14922
21,SouthAfrica,3673257,+1266,99229,+38,3541730,+1948,32298,546,60669,1639,23071788,381062,60546030,Africa,16,610,3,21,0.6,533
22,Philippines,3661046,+1035,56401,+51,3551650,+1962,52995,298,32690,504,28128384,251159,111994381,Asia,31,1986,4,9,0.5,473
23,Israel,3618445,+4680,10126,+8,3530985,+28044,77334,646,387995,1086,41373364,4436346,9326000,Asia,3,921,0,502,0.9,8292
24,Czechia,3574328,+5589,38592,+12,3435396,+15579,100340,221,332747,3593,52579250,4894796,10741868,Europe,3,278,0,520,1,9341
25,Belgium,3544034,,30121,,2909318,+61207,604595,269,303607,2580,31623639,2709101,11673112,Europe,3,388,0,,,51794
26,Peru,3516264,+3860,210538,+131,,,,1001,104242,6242,27340836,810536,33731811,SouthAmerica,10,160,1,114,4,46990
27,Malaysia,3419636,+24466,32674,+40,3086270,+22710,300692,353,103462,989,49439581,1495804,33052177,Asia,10,1012,1,740,1,9097
28,Vietnam,3321005,+86990,40144,+94,2411912,+35866,868949,3190,33617,406,79078763,800489,98788045,Asia,30,2461,1,881,1.0,8796
29,Canada,3283732,+3037,36537,+15,3131360,+2081,115835,736,85760,954,58032175,1515603,38289824,NorthAmerica,12,1048,1,79,0.4,3025
30,Portugal,3258409,+7107,21039,+38,2784612,+612,452758,102,321105,2073,37805639,3725614,10147493,Europe,3,482,0,700,4,44618
31,Australia,3191964,+18452,5159,+27,2981011,+18087,205794,137,122818,199,63442410,2441080,25989483,Australia/Oceania,8,5038,0,710,1,7918
32,Chile,3041400,+23821,42200,+130,2036367,+29310,962833,1041,156872,2177,32934386,1698719,19387777,SouthAmerica,6,459,1,1229,7,49662
33,S.Korea,2994841,+163558,7944,+49,969524,,2017373,663,58331,155,15804065,307818,51342223,Asia,17,6463,3,3186,1.0,39293
34,Thailand,2869616,+24719,22894,+42,2637879,+16875,208843,687,40942,327,17270775,246409,70089899,Asia,24,3061,4,353,0.6,2980
35,Switzerland,2753342,,13208,,2097844,+41538,642290,142,314331,1508,18563383,2119259,8759376,Europe,3,663,0,,,73326
36,Romania,2728727,+4247,63353,+56,2471902,+18553,193472,946,143427,3330,21014188,1104542,19025254,Europe,7,300,1,223,3,10169
37,Austria,2659532,+23274,14787,+25,2370487,+24865,274258,197,292531,1626,158790421,17465897,9091455,Europe,3,615,0,2560,3,30167
38,Denmark,2618025,+15588,4584,+46,2215299,+36247,398142,45,449372,787,125281483,21503988,5825965,Europe,2,1271,0,2676,8,68339
39,Sweden,2441142,,17107,,2053042,+53894,370993,73,239246,1677,18107257,1774613,10203496,Europe,4,596,1,,,36359
40,Greece,2405401,+8214,25785,+66,2190692,+21361,188924,417,232658,2494,65433870,6328977,10338775,Europe,4,401,0,794,6,18273
41,Iraq,2301590,+945,24975,+15,2241001,+2544,35614,144,55174,599,17960033,430540,41715102,Asia,18,1670,2,23,0.4,854
42,Bangladesh,1942680,+864,29033,+9,1806689,+6264,106958,1275,11605,173,13376734,79907,167404719,Asia,86,5766,13,5,0.05,639
43,Serbia,1908272,+2130,15199,+44,1790931,+12487,102142,110,219869,1751,8740109,1007028,8679112,Europe,5,571,1,245,5,11769
44,Hungary,1779174,,43752,,1566509,,168913,148,184950,4548,10733913,1115821,9619745,Europe,5,220,1,,,17559
45,Jordan,1623474,+6296,13814,+16,1518754,+21122,90906,786,156543,1332,16246059,1566525,10370763,Asia,6,751,1,607,2,8766
46,Georgia,1603007,+4835,16138,+41,1491321,+13840,95548,,403121,4058,15866586,3990097,3976491,Asia,2,246,0,1216,10,24028
47,Pakistan,1508504,+847,30173,+20,1441528,+1236,36803,1113,6617,132,26393595,115768,227986680,Asia,151,7556,9,4,0.09,161
48,Slovakia,1442194,+8264,18453,+40,1222708,+14158,201033,235,263944,3377,6371850,1166147,5464020,Europe,4,296,1,1512,7,36792
49,Kazakhstan,1302059,+351,13592,+13,1266669,+1421,21798,528,67998,710,11575012,604491,19148361,Asia,15,1409,2,18,0.7,1138
50,Ireland,1292212,,6475,,1163170,+10374,122567,48,256949,1288,11317728,2250465,5029061,Europe,4,777,0,,,24372
51,Norway,1231766,+5900,1598,,88952,,1141216,21,224308,291,9852076,1794092,5491401,Europe,4,3436,1,1074,,207819
52,Morocco,1160892,+142,15978,+8,1140157,+464,4757,293,30846,425,11237010,298583,37634516,Africa,32,2355,3,4,0.2,126
53,Bulgaria,1088520,+724,35482,+24,834344,+2458,218694,503,158633,5171,9165927,1335779,6861859,Europe,6,193,1,106,3,31871
54,Cuba,1069387,+630,8494,,1058160,+524,2733,34,94509,751,12920253,1141852,11315172,NorthAmerica,11,1332,1,56,,242
55,Lebanon,1066840,+1533,10079,+10,682977,,373784,186,157471,1488,4795578,707850,6774848,Asia,6,672,1,226,1,55172
56,Croatia,1054596,+1028,15030,+18,1025051,+3105,14515,106,259538,3699,4512457,1110524,4063359,Europe,4,270,1,253,4,3572
57,Tunisia,997754,+666,27773,+30,947817,+1311,22164,222,82985,2310,4341110,361059,12023273,Africa,12,433,3,55,2,1843
58,Nepal,976865,+94,11935,+1,956413,+415,8517,100,32558,398,5416391,180524,30003688,Asia,31,2514,6,3,0.03,284
59,Belarus,917468,+4135,6470,+16,906043,+4975,4955,,97146,685,12427770,1315919,9444178,Europe,10,1460,1,438,2,525
60,Lithuania,900631,+3436,8413,+24,806472,+1706,85746,93,338658,3163,7741924,2911138,2659415,Europe,3,316,0,1292,9,32242
61,Bolivia,893223,+175,21426,+7,787320,+1208,84477,220,74831,1795,2669468,223639,11936484,SouthAmerica,13,557,4,15,0.6,7077
62,Slovenia,891950,+901,6292,+15,841948,+4292,43710,108,428944,3026,2569468,1235671,2079411,Europe,2,330,1,433,7,21020
63,UAE,879368,+622,2301,,832470,+1665,44597,,87168,228,137349003,13614896,10088142,Asia,11,4384,0,62,,4421
64,Uruguay,840511,+2170,6977,+16,809798,+3624,23736,122,240582,1997,5698831,1631194,3493657,SouthAmerica,4,501,1,621,5,6794
65,Ecuador,827760,,35223,,,,,759,45767,1947,2470170,136577,18086299,SouthAmerica,22,513,7,,,19277
66,CostaRica,802472,,7999,,659607,,134866,129,155184,1547,3635922,703123,5171103,NorthAmerica,6,646,1,,,26081
67,Azerbaijan,785301,+1041,9400,+22,764283,+2693,11618,,76314,913,6551104,636621,10290425,Asia,13,1095,2,101,2,1129
68,Guatemala,776262,,16961,,714146,,45155,5,42042,919,3922624,212450,18463756,NorthAmerica,24,1089,5,,,2446
69,Panama,755262,+357,8079,+6,740813,+1089,6370,27,170598,1825,5513584,1245406,4427139,NorthAmerica,6,548,1,81,1,1439
70,SaudiArabia,744374,+632,8996,+2,722468,+995,12910,609,20844,252,40641112,1138060,35710863,Asia,48,3970,1,18,0.06,362
71,Singapore,710880,+14228,1007,+8,650359,+19041,59514,46,119950,170,23141120,3904690,5926493,Asia,8,5885,0,2401,1,10042
72,Latvia,649504,+5427,5230,+7,513598,+7785,130676,76,350765,2824,6703408,3620178,1851679,Europe,3,354,0,2931,4,70572
73,SriLanka,645037,+977,16190,+24,608719,+244,20128,,29916,751,6282076,291351,21561862,Asia,33,1332,3,45,1,934
74,Paraguay,641321,+769,18359,+13,608474,+1203,14488,151,88124,2523,2526622,347182,7277515,SouthAmerica,11,396,3,106,2,1991
75,Finland,637729,,2364,,46000,,589365,39,114803,426,9903704,1782855,5554968,Europe,9,2350,1,,,106097
76,Kuwait,619310,+607,2537,+1,606657,+1788,10116,62,141554,580,7626573,1743191,4375065,Asia,7,1725,1,139,0.2,2312
77,Myanmar,586198,+1959,19365,+5,533395,+1193,33438,,10656,352,7100472,129068,55013516,Asia,94,2841,8,36,0.09,608
78,Palestine,575372,+590,5216,+4,553022,+2645,17134,104,108612,985,3078533,581128,5297513,Asia,9,1016,2,111,0.8,3234
79,DominicanRepublic,574071,,4368,,568031,,1672,40,52056,396,3103088,281384,11027938,NorthAmerica,19,2525,4,,,152
80,Venezuela,514795,+480,5633,+2,502418,+1112,6744,230,18189,199,3359014,118682,28302567,SouthAmerica,55,5024,8,17,0.07,238
81,Bahrain,512306,+2916,1453,+3,485005,+3091,25848,14,284724,808,9385851,5216370,1799307,Asia,4,1238,0,1621,2,14366
82,Moldova,501312,+500,11213,+12,475918,+1431,14181,77,124753,2790,3009636,748956,4018443,Europe,8,358,1,124,3,3529
83,Libya,493548,+1394,6250,+9,461102,+3466,26196,128,70247,890,2419533,344374,7025895,Africa,14,1124,3,198,1,3728
84,Estonia,492149,+4197,2225,+12,366927,+2794,122997,27,370591,1675,3096210,2331462,1328012,Europe,3,597,0,3160,9,92617
85,Egypt,482248,+1521,24040,+48,412161,+1213,46047,122,4570,228,3693367,34999,105526991,Africa,219,4390,29,14,0.5,436
86,Ethiopia,468674,+49,7460,+2,416704,+61,44510,86,3916,62,4501473,37615,119672008,Africa,255,16042,27,0.4,0.02,372
87,Mongolia,464045,+320,2168,+1,313256,,148621,192,137878,644,4030048,1197413,3365629,Asia,7,1552,1,95,0.3,44158
88,Armenia,419693,+270,8449,+16,400840,+1136,10404,,141196,2842,2891784,972875,2972411,Asia,7,352,1,91,5,3500
89,Honduras,411212,,10720,,127663,,272829,105,40453,1055,1263329,124280,10165223,NorthAmerica,25,948,8,,,26839
90,Oman,381381,+563,4242,+4,367204,+4404,9935,57,71670,797,25000000,4698051,5321356,Asia,14,1254,0,106,0.8,1867
91,BosniaandHerzegovina,370652,,15411,,192218,,163023,,114151,4746,1694736,521933,3247038,Europe,9,211,2,,,50207
92,Qatar,356671,+308,668,+1,352553,+807,3450,23,127028,238,3372268,1201034,2807805,Asia,8,4203,1,110,0.4,1229
93,Kenya,322930,+24,5639,,303248,+40,14043,4,5795,101,3368063,60435,55730036,Africa,173,9883,17,0.4,,252
94,Cyprus,320160,+1387,854,+2,124370,,194936,60,262017,699,9477138,7756029,1221906,Asia,4,1431,0,1135,2,159534
95,Zambia,312707,+96,3952,+1,306846,+274,1909,3,16257,205,3268486,169923,19235057,Africa,62,4867,6,5,0.05,99
96,NorthMacedonia,297081,+378,9001,+7,283908,+497,4172,,142606,4321,1889266,906892,2083232,Europe,7,231,1,181,3,2003
97,Réunion,292126,,640,,274185,,17301,40,322475,706,1424291,1572261,905887,Africa,3,1415,1,,,19098
98,Albania,271527,+102,3464,+2,265275,+208,2788,13,94523,1206,1742017,606426,2872595,Europe,11,829,2,36,0.7,971
99,Algeria,264855,+77,6831,+3,177437,+71,80587,14,5865,151,230861,5112,45160878,Africa,171,6611,196,2,0.07,1784
100,Botswana,263950,,2619,,259434,,1897,1,108614,1078,2026898,834060,2430159,Africa,9,928,1,,,781
101,Nigeria,254525,+24,3142,,249013,+20,2370,11,1186,15,4317621,20121,214587291,Africa,843,68296,50,0.1,,11
102,Uzbekistan,236299,+125,1633,+3,232597,+548,2069,23,6895,48,1377915,40206,34271752,Asia,145,20987,25,4,0.09,60
103,Zimbabwe,235975,+172,5394,+1,226069,+196,4512,12,15503,354,2078325,136544,15220902,Africa,65,2822,7,11,0.07,296
104,Montenegro,230120,+109,2676,+2,225847,+210,1597,60,366318,4260,1168531,1860132,628198,Europe,3,235,1,174,3,2542
105,Mozambique,225038,+2,2192,,219321,+1,3525,13,6881,67,1268201,38779,32702989,Africa,145,14919,26,0.06,,108
106,Kyrgyzstan,200478,+20,2956,+2,195056,+138,2466,131,29912,441,1907195,284560,6702266,Asia,33,2267,4,3,0.3,368
107,Luxembourg,181903,,988,,171378,,9537,8,282974,1537,4064929,6323529,642826,Europe,4,651,0,,,14836
108,Afghanistan,173565,+385,7596,+8,155919,+761,10050,1124,4298,188,889889,22039,40378143,Asia,233,5316,45,10,0.2,249
109,HongKong,171314,+26026,659,+82,13232,,157423,16,22548,87,36260319,4772573,7597646,Asia,44,11529,0,3426,11,20720
110,Maldives,169632,+484,297,+1,154246,+618,15089,25,304933,534,2183549,3925178,556293,Asia,3,1873,0,870,2,27124
111,Uganda,163250,+34,3588,+3,99990,+11,59672,56,3392,75,2457240,51056,48128415,Africa,295,13414,20,0.7,0.06,1240
112,Ghana,159124,,1442,,157133,,549,1,4950,45,2305405,71717,32145660,Africa,202,22292,14,,,17
113,Namibia,157210,+17,4007,,152694,+14,509,2,60072,1531,953850,364479,2617022,Africa,17,653,3,6,,194
114,ElSalvador,147786,,4068,+3,123870,,19848,153,22596,622,1693464,258925,6540376,NorthAmerica,44,1608,4,,0.5,3035
115,Laos,142609,+135,621,,7660,,134328,,19142,83,1000342,134270,7450238,Asia,52,11997,7,18,,18030
116,Cambodia,129920,+372,3032,,123353,+476,3535,,7597,177,2859086,167180,17101809,Asia,132,5640,6,22,,207
117,Rwanda,129489,+4,1457,,45522,,82510,1,9604,108,4832169,358388,13483084,Africa,104,9254,3,0.3,,6120
